episode,score
0,-317.648193707
1,-195.354162029
2,-414.249642082
3,-179.647148112
4,-96.0235881745
5,-107.93263686
6,-217.353397238
7,-160.200502721
8,-135.022624097
9,-188.883095921
10,-375.123948624
11,-153.902613415
12,-314.466945366
13,-73.5226125504
14,-116.107551536
15,-83.6060489827
16,-118.329476065
17,-440.338002631
18,-109.164363633
19,-365.62212731
20,-460.247796845
21,-59.6669322613
22,-293.913904354
23,-422.852216892
24,-69.8826671292
25,-138.333969021
26,-168.769543715
27,-549.667399696
28,-277.125193689
29,-319.096079515
30,-102.979826165
31,-92.3440674028
32,-59.4454745688
33,-82.0215786776
34,-243.99921272
35,-115.468729501
36,-163.466611193
37,-342.271286644
38,-348.927717593
39,-111.575923516
40,-240.152143378
41,-356.364608527
42,-104.07458929
43,-87.6718310558
44,-393.513188012
45,-144.689389265
46,-209.669711042
47,-156.367046425
48,-234.884986812
49,-117.651003999
50,-125.056991128
51,-219.635835657
52,-316.072983729
53,-317.11938334
54,-66.1338389381
55,-46.4969014108
56,-149.169494981
57,-164.647032151
58,-296.604910628
59,-386.775315667
60,-221.711182553
61,-46.2844752669
62,-53.6011652623
63,-76.3040432797
64,-232.704925845
65,-270.797711675
66,-82.9189079214
67,-214.871256904
68,-87.1071949256
69,-93.7528352146
70,-263.840593862
71,-285.938242908
72,-267.629571463
73,-383.846517374
74,-284.873749144
75,-318.315045702
76,-220.032854456
77,-205.12123988
78,-253.558489201
79,-146.38751721
80,-445.79804741
81,-139.952515102
82,4.23932093427
83,-446.055955657
84,-401.809667549
85,-3.3474163235
86,-307.543100231
87,-10.5000928733
88,-146.791788305
89,-183.818284779
90,-127.55766433
91,-36.1399447218
92,-242.903054948
93,-86.5823807743
94,-217.400304462
95,-136.250563182
96,-217.681828321
97,-156.026951901
98,-161.645857574
99,-15.8945292074
100,-343.048309504
101,-232.992560952
102,-143.987580292
103,-109.038083426
104,-186.657969161
105,-98.3067435453
106,-133.596017078
107,-241.286658047
108,-45.7541406882
109,-91.1957131145
110,-150.649106121
111,-163.804586624
112,-113.882198529
113,-255.971880293
114,-310.167817896
115,-239.609143027
116,-292.512026947
117,-114.258436858
118,-253.444751732
119,-135.89880789
120,-88.0733733141
121,-132.96951212
122,-59.5604681865
123,-63.4306766856
124,-81.92949692
125,-173.382432859
126,-39.4829073186
127,-124.308691005
128,-4.15117721243
129,-93.4737273749
130,-167.130662818
131,-185.5073357
132,-82.0031465661
133,-76.3419056104
134,-247.662264521
135,-34.8752371856
136,-108.147558276
137,-118.477304955
138,-171.226433319
139,-148.371557813
140,-64.8620084773
141,-209.910374342
142,-209.400624061
143,-53.379233818
144,-84.9831258108
145,-162.302935903
146,-21.4702207185
147,-112.339276527
148,-253.499611439
149,-79.7358754089
150,-221.780219263
151,-359.589710454
152,35.5871867978
153,-93.0788386129
154,-134.143903328
155,-27.0865981708
156,-65.0372161109
157,-80.2794174811
158,-12.6379732614
159,-112.524635048
160,-87.5890350846
161,-119.971020877
162,-45.8153369531
163,-107.037502278
164,-109.168456283
165,-53.3674230796
166,-0.682847843881
167,-23.5908284717
168,-51.7353979322
169,-74.9109725074
170,-236.670659925
171,-111.920745665
172,-193.314461361
173,-54.4337093076
174,8.57200397072
175,19.7214402402
176,-7.18994449647
177,-105.674106369
178,-89.5981731671
179,-60.8929971122
180,-96.6531267075
181,-64.9043347566
182,-89.7786346355
183,-60.7429667332
184,-22.3044358557
185,-62.5105262521
186,-42.6953823981
187,-97.1786797866
188,-57.9428768274
189,-55.8677859389
190,8.1486015393
191,-246.550702726
192,34.6718731979
193,-108.609623966
194,-103.519801625
195,-111.553970148
196,-20.2410489678
197,-113.584819489
198,-63.2121882078
199,-75.8420081078
200,93.5097889347
201,-77.1281692033
202,-219.779189268
203,-271.123833882
204,-256.375544173
205,-198.854340265
206,-60.1832107412
207,-28.2578457405
208,-297.174672815
209,-17.1703214417
210,88.1670676224
211,-124.830828485
212,-29.7688584821
213,-28.1800928612
214,92.8533168808
215,-193.077647361
216,31.2541604598
217,-18.8995542536
218,40.4298926594
219,-218.345079366
220,-200.007202255
221,-57.4764754637
222,-61.1178621398
223,-77.9570200445
224,-15.2931661378
225,101.799664742
226,-198.665245473
227,-225.998708061
228,48.6921924528
229,13.1270071286
230,-24.1931799174
231,13.1535116894
232,27.6326005108
233,-254.464349461
234,-6.4960450227
235,-42.7654174117
236,-63.7161091499
237,-199.673730176
238,-205.016132298
239,-255.849161872
240,-26.7635892758
241,-45.1523789425
242,-47.8842167166
243,-209.748134899
244,-259.301817868
245,32.5834642895
246,-257.699544434
247,-254.134004081
248,-87.1091932743
249,131.349516393
250,-279.891879038
251,-97.0783835469
252,8.84220642547
253,-66.7836345492
254,-281.467140416
255,-243.586267608
256,5.18528945044
257,17.8502513111
258,-259.989127421
259,-134.384685557
260,-212.325372893
261,10.9197214149
262,-10.0479291083
263,-70.5411695926
264,67.7049392509
265,2.83655799005
266,-3.87762777029
267,-34.5214598589
268,45.9978876074
269,48.5688485226
270,-212.453753572
271,-158.577207146
272,-145.480728185
273,-187.79828476
274,-28.4529292574
275,11.4877324989
276,-112.667286481
277,-3.94244193149
278,-114.242005828
279,-159.142160504
280,-44.7944840797
281,5.81453622221
282,-31.5910080429
283,-164.594368839
284,-29.7423767788
285,18.6315852835
286,6.664382427
287,-294.551028216
288,-160.228419363
289,-49.9112602864
290,8.88634039054
291,8.54884098749
292,23.353848427
293,-28.8105888875
294,6.62529107711
295,-75.0349834086
296,-59.6522597366
297,7.81549276806
298,33.839717322
299,-16.3411232491
300,-18.3692307765
301,28.8626766612
302,-20.8383322953
303,4.0233223913
304,33.5624411666
305,-38.7015648998
306,-82.7428154333
307,-88.8714694608
