episode,score
0,-62.3870770872
1,-123.510790611
2,-151.178029486
3,-137.923965609
4,-126.00982691
5,-90.1594744554
6,-97.066760035
7,-103.145642655
8,-130.132401242
9,30.590140443
10,-292.572117946
11,-140.528124425
12,-167.978207947
13,-333.526279222
14,-401.514015133
15,-190.073435615
16,-109.69280955
17,-148.845575659
18,-209.626314058
19,-130.465982879
20,-117.267577167
21,-181.694645715
22,-116.000731216
23,-53.8305102113
24,-195.003154815
25,-235.158934574
26,-126.762285825
27,-107.914700629
28,-252.904452523
29,-57.7710035641
30,-353.632781113
31,-84.1385774324
32,-57.7715154882
33,-93.2019316858
34,-48.8151637522
35,-192.757081919
36,-225.118031735
37,-153.782444096
38,-116.455943428
39,-68.4868182213
40,-226.667620761
41,-79.9873668699
42,-232.490361548
43,-53.8536289811
44,-23.1846403197
45,-217.954043668
46,-171.609652921
47,-320.967068751
48,-128.828597992
49,-128.371501532
50,-185.7409257
51,-8.72185057912
52,-62.3671153384
53,-97.040577391
54,-253.383838034
55,-246.569501669
56,-64.0970191747
57,-190.351625009
58,-197.676054049
59,-155.848136568
60,-479.994497912
61,-222.117059988
62,-192.478962173
63,-82.5646462064
64,-312.656115066
65,-181.227868836
66,-104.638318931
67,-234.515927097
68,-229.454922377
69,-37.7422220804
70,-114.251734201
71,-230.47533373
72,-264.660107831
73,-47.2803598922
74,-376.334844352
75,-218.190433426
76,-157.907465176
77,-83.6745200344
78,-154.02525903
79,-57.1543437964
80,-83.1169862994
81,-263.527153504
82,-22.9432235303
83,-55.6627092089
84,-33.6717366917
85,-91.433606835
86,-137.768993416
87,-65.7240298635
88,-112.006944242
89,9.62861638487
90,-173.708581726
91,-328.948017484
92,-193.075139741
93,-221.44003553
94,-134.424399833
95,-115.548078842
96,-217.505820076
97,-351.344335145
98,-78.788526894
99,-125.099446333
100,-96.5865953408
101,-56.8813866382
102,-340.27173355
103,-237.111206842
104,-133.612300868
105,-225.61777183
106,-293.241915084
107,-2.55819182455
108,-189.78794985
109,-54.4386763884
110,-170.090085018
111,-269.763485366
112,-235.307093373
113,-262.863874719
114,-95.4915708667
115,-122.963911159
116,-65.6123804819
117,-76.9850850682
118,-177.888038507
119,-149.612104365
120,-193.731138087
121,-98.7549734903
122,-38.9101577658
123,-25.3753206185
124,-227.135094895
125,-324.549135124
126,-177.817437984
127,-120.381719104
128,-166.76297738
129,-84.7033620047
130,-55.2601315262
131,-221.382966783
132,-88.4664707973
133,-144.167244788
134,-128.291735687
135,-60.420583026
136,-87.311929128
137,-124.825507343
138,-230.393179722
139,-106.755524223
140,-65.4589176557
141,-53.982353709
142,4.75452238078
143,-44.8422856909
144,-114.052073273
145,-228.267984082
146,-114.93884642
147,-18.1409525649
148,-79.3273844534
149,-103.017727276
150,-83.6896489312
151,-15.0430993741
152,-143.128185511
153,-64.9336081203
154,-145.438967475
155,-68.6061301958
156,-68.1902280827
157,-96.327051776
158,-49.5101219691
159,-85.105909485
160,-67.9258392343
161,-267.44183905
162,-161.046925552
163,-54.1299804138
164,-6.922621775
165,-308.020208834
166,-82.5239151655
167,-194.700247469
168,-157.133230127
169,-97.6571702105
170,-51.543300379
171,-196.179732126
172,-10.0733981256
173,-131.591440719
174,-102.74420936
175,-119.7684738
176,-53.2589240989
177,-299.293890136
178,-65.4073134214
179,-88.7651871979
180,-24.8864557425
181,-87.9187799059
182,-87.0586754682
183,22.3182536248
184,-413.547313691
185,-65.2844688245
186,-195.217343142
187,-328.294675461
188,-257.558934356
189,-14.1112206748
190,-151.81305235
191,-58.6717312879
192,-40.6715853172
193,-103.623624344
194,-55.5788649892
195,-192.235301195
196,-325.885887656
197,-28.5843912643
198,-170.324697066
199,-173.249697934
200,-43.0737008245
201,-167.242976239
202,-2.20681703265
203,-224.364422633
204,-94.1219174303
205,-35.9155893936
206,-231.584915974
207,-124.952844115
208,-88.4756994115
209,-46.7448577088
210,-39.6621996546
211,-19.7464891883
212,63.0695802339
213,-142.883018608
214,-257.004720691
215,14.3031323101
216,-88.4787128915
217,-162.642421035
218,-11.6986191896
219,-33.5681498138
220,-286.533854312
221,-195.989413721
222,-107.711576073
223,-17.9549589278
224,-25.9414682773
225,-97.2604428152
226,37.7835300327
227,-53.9877716337
228,-253.95937708
229,-33.6001340532
230,-67.3633969541
231,-116.507464996
232,-90.2744795843
233,-320.343924906
234,-14.2129904153
235,22.4248998725
236,-350.564606186
237,-282.171733636
238,-75.9785610326
239,-191.270299908
240,-302.183895742
241,-59.8635877722
242,-103.199250221
243,136.264164123
244,-198.838401416
245,21.8047417844
246,82.8454412304
247,-215.570749413
248,-53.2570474989
249,-201.306757439
250,-138.153421427
251,-84.5489212727
252,-86.9888635498
253,-90.2519706484
254,-216.190306086
255,-193.044684858
256,-151.06885608
257,-3.3943374854
258,19.1373842316
259,11.6089861041
260,-69.3656462485
261,-227.225601301
262,-45.2406331728
263,-229.958145871
264,-257.602312831
265,-89.55417344
266,4.29452403429
267,-33.3446033062
268,-106.987315347
269,-174.464652271
270,-196.758532543
271,130.335819709
272,-87.4819463039
273,-53.8836911523
274,69.017754343
275,4.12359688389
276,-321.403513
277,-235.571054376
278,-205.086992732
279,-27.5788422052
280,-72.3338911638
281,8.35641618802
282,-206.324041201
283,-101.13272403
284,-205.363162293
285,-187.384322269
286,-40.6021328938
287,32.5999276109
288,44.2368298719
289,-77.6868695155
290,-0.302560445122
291,-239.942310407
292,-287.866325804
293,-166.929301514
294,-141.683479319
295,30.8199515926
296,-217.551310573
297,61.1496790291
298,-133.418411941
299,-0.704597111789
300,2.01526597574
301,0.191884017792
302,-6.94144280688
303,-126.261454546
304,-25.543423671
305,7.33295462518
306,241.975478202
307,40.4049912937
308,-111.31121125
309,240.009530471
310,78.0086174152
311,-7.63545895328
312,129.675029005
313,5.67870596307
314,-38.7036837745
315,-17.6863890031
316,-15.5697881353
317,-116.803825281
318,73.9186126891
319,-124.25156541
320,125.408959887
321,175.24574644
322,34.5798180868
323,185.685878818
324,-32.0902885149
325,50.6997887653
326,88.7959007475
327,2.33725094044
328,19.2765998454
329,6.44947287782
330,6.03154338727
331,195.440649952
332,34.2490641355
333,-8.13885902852
334,119.641255034
335,134.679331416
336,11.4167061831
337,36.4235741281
338,171.00705806
339,-53.692874312
340,30.0789082331
341,-26.0772305484
342,-10.0702254329
343,-0.804654080662
344,16.3320370219
345,-43.5476719622
346,-18.8538491717
347,7.66193291206
348,-31.5652951768
349,-6.45575847404
350,27.6815260217
351,-29.2562065502
352,24.6986008101
353,30.2745963637
354,52.8408351136
355,24.1185637942
356,-0.48286470381
357,47.8285210952
358,-39.1974408115
359,200.62026102
360,-27.6773737394
361,-54.6079735156
362,-18.8683810408
363,51.1202654423
364,-43.995893053
365,-5.60454467297
366,177.28395406
367,-55.6452814301
368,44.6195658055
369,-12.8019942089
370,-27.308268398
371,-11.9421387625
372,15.2621842753
373,111.654440126
374,69.7139112958
375,210.203392755
376,33.9581875061
377,174.08364961
378,87.2948597053
379,-8.03782529086
380,-13.5759250142
381,183.593454368
382,79.1309182324
383,47.4382361679
384,159.919466449
385,-1.59111680993
386,-6.73060258062
387,-22.8449691378
388,-26.0371934726
389,145.565313295
390,196.562298248
391,32.2142162433
392,-7.80183034101
393,18.0370069839
394,198.813501708
395,67.4630434344
396,40.1037349667
397,-15.2556492952
398,-7.08643963684
399,212.709115671
400,17.0038679281
401,166.544291674
402,24.6795492533
403,164.161619015
404,199.525267366
405,-9.30084791709
406,216.582216127
407,-30.0440745793
408,-4.29440926801
409,60.1510658427
410,186.622241265
411,214.579607027
412,142.686327876
413,238.203543464
414,68.1680736479
415,7.25062867755
416,191.387142858
417,-41.5097599366
418,147.662798424
419,15.5162151761
420,253.484115405
421,-20.4182112249
422,110.873649252
423,204.854285401
424,203.761755108
425,232.870510644
426,127.047859759
427,12.5636123907
428,-15.9493240994
429,-7.17716959867
430,151.568990635
431,115.96415156
432,202.366913
433,247.552255475
434,-54.1520561149
435,-102.798541057
436,236.32283364
437,13.4344438615
438,157.125157002
439,168.897607214
440,-105.210188517
441,-10.7198101599
442,-104.264969946
443,248.53292785
444,178.293779528
445,187.068662705
446,-37.4033792883
447,65.8582290632
448,249.303045258
449,-20.9258736326
450,-62.0018479903
451,-45.28795321
452,164.122303287
453,58.648472406
454,129.091700516
455,208.03650138
456,28.0118695425
457,-221.162693239
458,-30.3227823969
459,-37.8263870183
460,113.881555436
461,6.67531134985
462,-200.66869092
463,254.756360746
464,218.17472177
465,192.15750807
466,-167.06788542
467,67.450476154
468,-197.408185298
469,260.724343688
470,269.928041802
471,-47.6675055719
472,154.330320573
473,231.034365422
474,-161.497230296
475,-172.261829571
476,224.853324632
