episode,score
0,-309.445765258
1,-125.407015713
2,-171.850518857
3,-75.92660704
4,-83.5028027774
5,-89.7745523107
6,-192.67883711
7,-109.106899509
8,-250.929887517
9,-159.937753813
10,-93.297100606
11,-103.426072217
12,-138.997547479
13,-128.78189351
14,-110.298190891
15,-366.242144562
16,-34.2509913917
17,-93.7366690708
18,-145.150772825
19,-353.705163499
20,-99.9522927012
21,-35.3087830741
22,-157.892893361
23,-342.121851194
24,-166.035749788
25,-190.243445254
26,-123.319949396
27,-167.916931951
28,-262.916059145
29,-15.0963223098
30,-87.0717446751
31,-396.252318096
32,-211.474455054
33,-98.5928090546
34,-69.063794792
35,-241.288853582
36,-93.0947494897
37,-309.689836823
38,-13.161764281
39,-198.402740428
40,-109.248105293
41,-108.993982683
42,-77.3622149507
43,-84.6034069801
44,-134.324021749
45,-98.568128891
46,-276.575086383
47,-556.088142886
48,-36.8423546211
49,25.635718598
50,-54.5614423009
51,-452.035239136
52,-78.2253808775
53,-406.894649893
54,-260.154472301
55,-100.025036742
56,-53.2915683476
57,-148.801329565
58,-234.155883045
59,-55.954396747
60,-255.113286726
61,-401.63278427
62,-209.52947216
63,-162.349582441
64,-221.280780628
65,-85.902652784
66,-218.457085814
67,-80.3356031717
68,-386.40001313
69,-99.6868246031
70,-47.386428802
71,-168.661078979
72,-89.3312812409
73,-146.811053193
74,-205.23669473
75,-204.071442193
76,-219.777567963
77,-202.757737963
78,-135.289757665
79,15.4666497336
80,-168.158403561
81,-114.122800547
82,-314.55569276
83,-60.5033859669
84,-198.246467343
85,-86.1301652375
86,-121.187387688
87,-109.969625947
88,-147.511082956
89,-213.715178791
90,-54.065816315
91,-208.098622845
92,-116.607273438
93,-246.757403459
94,-89.5329101492
95,-46.2694014653
96,-133.017154103
97,-192.521804662
98,-34.4901202765
99,-113.114822128
100,-193.89893685
101,-223.742221913
102,-173.87339798
103,-289.361495896
104,-151.476818381
105,-83.4444845457
106,-26.4325828495
107,-23.5150207635
108,-149.593034437
109,-197.053924793
110,-135.71410886
111,-109.105892864
112,-265.471188612
113,-293.683492474
114,-120.568766127
115,-50.339409721
116,-100.025987466
117,-77.1736775909
118,-104.148633763
119,-121.552267351
120,-298.948514313
121,-105.583554138
122,-121.391984085
123,-134.18429733
124,-144.380332276
125,-98.7840370199
126,-80.6224221358
127,-94.7724683685
128,-160.493419088
129,-26.7945182104
130,-266.712063362
131,-141.049142539
132,-31.3391812755
133,-183.099756355
134,-283.193641127
135,-144.649989074
136,-134.471041998
137,-202.968638764
138,-164.666351766
139,-67.1512052618
140,-67.5550658767
141,-76.0554261885
142,-48.8836374521
143,-141.172429908
144,-148.366919783
145,-127.963992612
146,-16.2505097533
147,-47.253474008
148,-22.5534958053
149,-66.9442872831
150,-174.960638055
151,-186.035198412
152,-71.7043763859
153,-174.837845835
154,-196.445588266
155,-202.76532231
156,-169.411556114
157,-187.619064038
158,-22.2064649392
159,-127.105495127
160,-177.346035871
161,-13.9749817815
162,-239.712147505
163,-44.289281682
164,-198.984560485
165,-87.4877268351
166,-51.001544395
167,-269.080184726
168,-267.171346005
169,-69.2034138467
170,-39.0530620352
171,-112.557068467
172,-41.8656689821
173,-65.6418074911
174,-128.34974753
175,40.1318428321
176,-248.426129415
177,-81.7397282398
178,-100.136153389
179,-80.7082412895
180,-166.541225739
181,-33.8473832965
182,-9.79627864057
183,-80.7285493547
184,-149.985435295
185,-88.9643769329
186,-178.421951663
187,-130.523843473
188,-62.0929542204
189,-134.3390328
190,-21.60901497
191,-10.8663924455
192,-48.2486559517
193,-56.0730931205
