episode,score
0,-80.7628184575
1,-245.174183855
2,-86.8087052797
3,-108.841488861
4,-210.031276279
5,-128.728410925
6,-171.760380659
7,-71.8869068813
8,-56.6148771283
9,-327.272634307
10,-88.3576390603
11,-97.2904885742
12,-185.010422126
13,-334.038157863
14,-256.464749393
15,-142.815713951
16,-315.880374228
17,-279.451584354
18,-87.6733506768
19,-394.782976351
20,-235.568252912
21,-98.239589852
22,-225.911270182
23,-49.2766821675
24,-352.289790752
25,-312.592340356
26,-295.559006419
27,-86.560899179
28,-163.250736026
29,-292.674126874
30,-368.115051937
31,-131.508444478
32,-370.633345947
33,-170.85366882
34,-155.701715474
35,-67.5600749803
36,-96.6342793714
37,-263.80290811
38,-104.997781738
39,-89.109862419
40,-132.253990219
41,-147.28497822
42,-65.3782823139
43,-156.944377215
44,-98.72983508
45,-136.984702803
46,-200.315142099
47,-82.5696484955
48,-121.601958699
49,-71.0326911618
50,-455.186149334
51,-114.704928552
52,-228.989192092
53,-295.247001496
54,-108.643117521
55,-184.807082454
56,-11.4933735479
57,-108.859964215
58,-48.9110022655
59,-161.218515015
60,-381.827696732
61,-182.976941353
62,-257.044710929
63,-147.237367971
64,-259.163897828
65,-211.393801401
66,-216.72320687
67,-290.343337058
68,-214.78159716
69,-177.655095796
70,-170.610614097
71,-200.163582066
72,-144.868031742
73,-175.641064835
74,-283.085617923
75,-172.904696575
76,-143.761774658
77,-166.900558254
78,-122.454464399
79,-111.465799195
80,-103.828690595
81,-71.1560796251
82,-81.9190979526
83,-57.7876698764
84,-121.161688495
85,-107.296869906
86,-145.167483785
87,-200.569877193
88,-353.891579462
89,-195.706015348
90,-114.102021508
91,-198.553252552
92,-156.644207428
93,-180.20990562
94,-139.673264839
95,-96.548871175
96,-213.682473811
97,42.1544793808
98,-166.994800095
99,-144.908437106
100,36.4723472454
101,-32.1981816368
102,-290.089905069
103,-73.0680126259
104,-185.929014627
105,-156.868977664
106,-136.453585759
107,-228.831500211
108,-195.460725595
109,-89.8264952604
110,-220.409006126
111,-165.310716519
112,-176.572886272
113,-191.035423245
114,-88.8033175284
115,-127.051538198
116,-55.9173166664
