episode,score
0,-136.59953667
1,-74.7165293673
2,-31.94641592
3,-161.539811656
4,-203.083625922
5,-428.886507846
6,-335.025130249
7,-98.8350711627
8,-182.097295279
9,-98.2828873046
10,-47.2717190157
11,-113.708418171
12,-427.824307091
13,-170.012916524
14,-160.680052681
15,-93.6064158716
16,-81.4406470804
17,-150.923113007
18,-244.969637962
19,-104.669794149
20,-143.49427276
21,-186.683690519
22,-323.522082844
23,-180.725097046
24,-152.132948269
25,-170.451704956
26,-83.1603884335
27,-221.684455903
28,-57.4593679941
29,-186.63898949
30,-148.432312909
31,-9.22074222327
32,-446.838357309
33,-57.9312180867
34,-44.0469024157
35,-121.030425912
36,-88.3293217951
37,-324.017845103
38,-96.0746267347
39,-114.759376817
40,-231.322575778
41,-40.4753538723
42,-340.307191142
43,-428.416270556
44,-310.665235651
45,-143.307326842
46,-141.756607408
47,-150.834300177
48,-158.553813641
49,-174.190858909
50,-33.5152201656
51,-334.403483033
52,-112.051839962
53,-212.162472304
54,-256.400793447
55,-82.2302546734
56,-171.965888803
57,-43.4739739508
58,-256.286425259
59,-303.981379559
60,-146.354177878
61,-185.796794035
62,-233.509173504
63,-237.882392176
64,-116.929714208
65,-293.818251111
66,-124.712326185
67,-91.5608427563
68,-127.90370022
69,-85.1795858375
70,-81.2888338826
71,-43.842884638
72,-130.232540535
73,-223.598841244
74,-249.650576727
75,-65.5342532028
76,-25.5530542554
77,-260.63512263
78,-92.0361820088
79,-229.1064076
80,-249.272751306
81,-218.728535125
82,-211.356855783
83,-84.6806975115
84,-125.765329768
85,-128.162975224
86,-41.798883253
87,-263.517417722
88,-143.410821601
89,-57.2870877557
90,-149.434060803
91,-219.870632592
92,-142.455213662
93,-183.741978221
94,-137.128628753
95,-146.799761654
96,-332.145871358
97,-203.842222266
98,-255.177673346
99,-12.8446960456
100,4.92621697961
101,-191.779371308
102,-195.665611237
103,-67.3543754642
104,-123.524974965
105,-50.4032454462
106,-114.506073853
107,-214.685971198
108,-147.157220822
109,-16.0789541037
110,-273.308448505
111,-163.929656872
112,-341.83805228
113,-114.34374799
114,-115.095481755
115,-79.7646282327
116,-205.71113403
117,-166.048597925
118,-60.7712902156
119,-124.288263369
120,-171.239210992
121,-179.788847364
122,-106.662620087
123,-327.456724137
124,-309.061300031
125,-93.2352482047
126,-155.730424839
127,-183.794974298
128,-247.115855115
129,-147.863531612
130,-183.598585133
131,-2.61367768707
132,-216.519336914
133,-102.569282536
134,-266.780614258
135,-98.3971972054
136,-302.552088782
137,-23.446824693
138,-232.930385922
139,-125.779055696
140,-183.740434026
141,-250.5578789
142,-55.8560669696
143,-196.779170114
144,-55.6827492346
145,-6.21927670831
146,-292.928965261
147,-251.441453381
148,-62.6438585871
149,-153.876733158
150,-189.635880195
