episode,score
0,-106.916740869
1,-347.638899265
2,-59.3919223265
3,-113.765094741
4,-179.688954891
5,-163.318928284
6,-101.173144848
7,-410.898815775
8,-98.3864556722
9,-391.835742583
10,-132.447258144
11,-92.2708710669
12,-288.80706864
13,-115.877479621
14,-108.428850156
15,-125.906748077
16,-137.234064564
17,-85.455466123
18,-164.089953763
19,-26.1056771184
20,-99.185625753
21,-248.48388224
22,-130.673011886
23,-184.299377915
24,-449.547958608
25,-213.970052855
26,-151.921051005
27,-70.936177497
28,-234.412684147
29,-102.777356028
30,-80.9907828174
31,-368.466906832
32,-304.890946355
33,-210.153754117
34,-158.478875334
35,-115.078623306
36,-186.655521733
37,-80.2391315343
38,-169.227663375
39,-319.852896931
40,-70.6714091582
41,-161.175960137
42,-294.397410252
43,-188.368501779
44,-116.521458597
45,-273.48098239
46,-70.4173529602
47,-306.12124864
48,-389.751165084
49,-40.7118949708
50,-158.607906484
51,-106.783771661
52,-10.779416856
53,-133.924463073
54,-180.450991932
55,-132.132596858
56,-258.147129053
57,-239.876031751
58,-448.143984534
59,-198.562649213
60,-125.983500833
61,-83.0040737061
62,-197.561459048
63,-283.632372873
64,-82.1741155036
65,-234.871499212
66,-160.251260775
67,-58.2763603421
68,-105.798145907
69,-104.223474927
70,-448.29501007
71,-274.092774971
72,-147.480184218
73,-52.0369951581
74,-135.804332328
75,-74.0938933297
76,-284.323040664
77,-315.314110521
78,-180.005484533
79,-75.7636286635
80,-252.204360242
81,-73.1464653296
82,-50.3354700927
83,-123.319538603
84,-305.97195197
85,-69.985191879
86,-144.753827724
87,-201.085290502
88,-105.789783635
89,-181.981017279
90,-197.751014075
91,-19.8971816277
92,-199.104406428
93,-280.115590715
94,-175.552464362
95,-189.965660715
96,-372.289448342
97,-222.339347361
98,-196.131043126
99,-144.469012658
100,-224.327519055
101,-145.502389163
102,-187.324507103
103,-124.187583527
104,-77.6895072766
105,-186.817264509
106,-59.3100821654
107,-317.734936924
108,-358.269933342
109,-29.281953744
110,-295.023777736
111,-194.890049039
112,-200.865874217
113,-229.209506981
114,-169.001543328
115,-77.8415303878
116,-208.444791427
117,-157.315160492
118,-288.825910714
119,-125.178351078
120,-156.316521977
121,-199.929792104
122,-167.988719449
123,-153.216346802
124,-98.2343198952
125,-221.701291654
126,-166.107420975
127,-131.499570217
128,-123.758726895
129,-145.957833265
130,-118.615023881
131,-448.46005809
132,-144.403724313
133,-337.27081567
134,-289.990023116
135,-108.836242097
136,-189.268218258
137,-157.558159843
138,-176.74981535
139,-180.016611341
140,-82.8313737267
141,-246.212904731
142,-163.371165564
143,-223.756514069
144,-127.666499607
145,-373.480325774
146,-99.707234872
147,-282.146264599
148,-198.687631307
149,-138.683144918
150,-382.231045617
151,-186.823479824
152,-32.4475878535
153,-144.909776096
154,-52.0531590756
155,-278.848167526
156,-207.26785975
157,-198.040628225
158,-54.7027521643
159,-158.754549061
160,-38.7974297531
161,-266.909356984
162,-75.852228897
163,-186.845206308
164,-159.828198883
165,-47.5631930662
166,-115.546950754
167,-146.489283999
168,-118.391440903
169,-167.675092147
170,-96.8454075631
171,-62.6161491609
172,-41.4054209384
173,-5.78228037857
174,-40.6735913193
175,-348.264776263
176,-29.9868701685
177,-158.935521002
178,-337.890817024
179,-214.580284343
180,-96.7499195878
181,-62.6430856205
182,-318.63474264
183,-112.862127947
184,-212.754469515
185,-66.9286740846
186,-197.604574566
187,-113.011073225
188,-132.053619203
189,47.6768478717
190,-47.6298317624
191,-219.735824288
192,-241.717356083
193,-63.569379688
194,-407.367370066
195,-71.510861023
196,-107.187989559
197,-74.9578033322
198,-94.1938449425
199,-645.94391409
200,-74.802814904
201,-327.111804636
202,-44.5249267325
203,-110.309470928
204,-305.443445289
205,29.317659375
206,-116.417228361
207,-89.0122778783
208,-236.197352729
209,-113.552733591
210,-28.8950456171
211,-295.475122859
212,-21.1973566316
213,-74.4792593971
214,-111.40447269
215,-305.647023622
216,-140.915524831
217,-2.53333832191
218,-244.908634454
219,62.0024803746
220,-79.8663306743
221,-209.054764593
222,-41.5628959352
223,-51.4911365423
224,-302.579901136
225,5.57769931466
226,-72.2989609395
227,-31.9378997222
228,-216.673130089
229,-216.118122027
230,-103.068209147
231,-67.3987672021
232,-127.437010754
233,-11.6768908553
234,-59.3802343267
235,-162.614400126
236,-80.6088314002
237,-49.1367402933
238,-98.7673256949
239,-88.9096423256
240,51.7974178291
241,-41.2565306072
242,-44.1816716493
243,32.0384980526
244,-83.1500872055
245,-73.8824638584
246,-114.016410897
247,3.23119420772
248,-46.9476083274
249,-168.19854482
250,-232.747216193
251,-16.6407106827
252,-28.7219895202
253,-81.1558133707
254,-22.4178203873
255,36.7136937156
256,-108.564686872
257,-52.5210025489
258,-22.2268476174
259,-72.8282169048
260,-31.8165865947
261,-35.7214081968
262,-46.1727177687
263,-68.2113044152
264,-1.55791824186
265,-31.7751208285
266,0.660435155083
267,-81.5099624493
268,-140.938709089
269,-21.0917242966
270,-14.6811463026
271,-6.11875522888
272,-50.2862128445
273,-18.9960323468
274,-46.270888448
275,-50.4059848203
276,-25.4838328184
277,-59.7770968491
278,-10.5320880319
279,45.9232854667
280,-12.010796182
281,33.241798607
282,-36.6953609822
283,-62.1164138083
284,9.10152055056
285,-46.0801713784
286,-35.9770442117
287,-7.74215782546
288,-50.8925708682
289,18.9550457452
290,-52.9330168919
291,-13.4631509413
292,-7.08280254561
