episode,score
0,-185.443692685
1,-222.521463364
2,-122.95002562
3,-130.848087969
4,-147.951567306
5,-280.81333809
6,-364.396606683
7,-110.575467275
8,-259.38486496
9,-102.086454297
10,-130.655807599
11,-180.996881131
12,-111.422246715
13,-162.608857148
14,-418.104346763
15,-76.384506711
16,-222.478296084
17,-271.485625407
18,-57.9969039391
19,-186.961361852
20,-305.399005961
21,-340.689248749
22,-173.491258136
23,-74.1669318275
24,-67.4733455987
25,-398.75958827
26,-59.1810223911
27,-98.4173113266
28,-175.499421172
29,-161.049820393
30,-35.2978139298
31,-191.711439651
32,-393.828520545
33,-224.295725518
34,-424.697917113
35,-375.302766983
36,-128.592349065
37,-134.802121994
38,-219.387537554
39,-237.654909382
40,-339.094830575
41,-468.242283163
42,-297.685519027
43,-153.021930917
44,-182.349226734
45,-190.687577917
46,-67.2012958275
47,-558.287079077
48,-264.554431533
49,-453.704273409
50,-426.849867836
51,-319.221579131
52,-238.09241595
53,-334.329162117
54,-347.040328801
55,-364.032913731
56,-69.1441079827
57,-451.41260154
58,-60.4505700887
59,-54.6941294393
60,-75.5935044616
61,-173.98657141
62,-130.536829786
63,-347.930250743
64,-136.488382185
65,-88.8689388695
66,-111.539824981
67,-219.839517666
68,-318.561882649
69,-199.353855565
70,-349.858918667
71,-235.588187416
72,-219.41084961
73,-235.275371399
74,-200.552870372
75,-310.317911995
76,-221.394834013
77,-333.288593621
78,-319.30320709
79,-381.333830015
80,-223.914172352
81,-336.242877393
82,-272.91206873
83,-597.13565857
84,-67.1121694837
85,-232.414720044
86,-324.991025611
87,-235.731283625
88,-36.8614286295
89,-354.816994219
90,-404.690168044
91,-254.712390691
92,-577.01511259
93,-424.359554083
94,-395.10630612
95,-277.411998963
96,-211.057413922
97,-313.499924504
98,-56.5121550581
99,-153.458346564
100,-93.1062100484
101,-277.460668416
102,-237.317809343
103,-489.36553068
104,-358.445748259
105,-77.4107743521
106,-577.332657971
107,-111.953624848
108,-170.212360396
109,-263.727671593
110,-238.534228421
111,-255.663798138
112,-46.7486879967
113,-272.033036226
114,-868.46839036
115,-209.277079962
116,-81.0916524789
117,-263.795838067
118,-313.723966293
119,-532.525318719
120,-339.052312175
121,-437.125427184
122,-244.383280303
123,-250.154598976
124,-186.63013135
125,-166.025532564
126,-396.119416662
127,-70.0825074615
128,-185.645431828
129,-458.111383803
130,-349.951162062
131,-94.375895003
132,-418.065238972
133,-178.772670124
134,-135.669405036
135,-399.239654373
136,-246.137991218
137,-324.517274599
138,-343.458481657
139,-409.615384229
140,-278.333527759
141,-361.689568343
142,-123.110220944
143,-206.607148405
144,-161.769223124
145,-356.426102197
146,-348.711991182
147,-182.669277006
148,-351.598220782
149,-335.444039228
150,-235.485642323
151,-187.715951759
152,-372.469948832
153,-152.305199132
154,-268.454924069
155,-122.055768724
156,-395.771740242
157,-311.52322075
158,-172.881054517
159,-41.8372121088
160,-297.746800498
161,-213.881113438
162,-178.026967497
163,-393.640748914
164,-196.906273753
165,-281.766617111
166,-159.317407079
167,-210.726035308
168,-89.9893409991
169,-381.711410966
170,-304.398384584
171,-204.441794654
172,-592.442088322
173,-343.510868094
174,-209.77954587
175,-225.076693519
176,-330.228832044
177,-414.686699128
178,-221.837597891
179,-155.704137691
180,-198.180982754
181,-303.974673944
182,-232.745241645
183,-622.774187516
184,-295.3975559
185,-232.131862875
186,-342.382546823
187,-130.689033816
188,-231.351684632
189,-184.308897486
190,-294.697762178
191,-273.282816959
192,-324.912288537
193,-280.204957048
194,-533.219347143
195,-454.835637896
196,-232.071405936
197,-400.896646937
198,-512.063053207
199,-387.993446109
200,-197.795338225
201,-180.551728388
202,-262.647307732
203,-218.127304211
204,-150.183037053
205,-461.668216979
206,-179.044704416
207,-61.9212678574
208,-160.776947567
209,-121.772344388
210,-530.566758852
211,-168.481543434
212,-224.225277117
213,-412.371115522
214,-202.861646894
215,-327.489185986
216,-209.162798963
217,-284.257314503
218,-561.744821147
219,-564.020476064
220,-481.753756509
221,-322.842690507
222,-342.662650745
223,-420.057028167
