episode,score
0,-247.137095052
1,-316.878429821
2,-194.963430141
3,-150.076151078
4,-185.982995571
5,-90.5699418767
6,-243.905594937
7,-299.05249493
8,-255.282173794
9,-84.0933935078
10,-96.9822112379
11,-76.0042073129
12,-205.970469411
13,-336.053580717
14,-137.535011447
15,-248.594067028
16,-180.02081409
17,-466.374634926
18,-155.267547742
19,-253.189575567
20,-324.708732927
21,-105.843916522
22,-223.013783422
23,-254.728293242
24,-282.526884642
25,-282.599067954
26,-103.456925086
27,-269.668229422
28,-198.349574662
29,-207.947196274
30,-206.744933599
31,-101.003217362
32,-48.9189687951
33,-45.200010009
34,-101.195194387
35,-216.894771444
36,-284.370340505
37,-18.32712623
38,-366.879034481
39,-312.109102194
40,-212.322527149
41,-232.798575536
42,-130.206863744
43,-290.777622204
44,-63.3197521858
45,-58.290541615
46,-64.4254818329
47,-210.621731443
48,-294.890810716
49,-101.001454957
50,-171.872236365
51,-304.160392029
52,-79.4761387242
53,-40.1985171327
54,-642.169713558
55,-250.982238209
56,-329.733289344
57,-172.082730974
58,-339.403849953
59,-429.897586065
60,-70.3740800392
61,-144.862126068
62,-61.6512942903
63,-289.289610449
64,-79.1480347735
65,-346.881376221
66,-131.141904151
67,-87.9285498325
68,-488.412753708
69,-61.9145277883
70,-142.343112697
71,-392.564060159
72,-390.380603551
73,-274.761890499
74,-59.470232422
75,-78.3988014223
76,-36.0382030508
77,-52.4107382397
78,-307.538304294
79,-278.733212913
80,-340.750174099
81,-101.012216141
82,-296.961304211
83,-107.215470714
84,-448.984951896
85,-259.498593398
86,-245.206606455
87,-347.818681839
88,-109.435188998
89,-178.708596919
90,-448.983548982
91,-539.388742629
92,-94.5890916672
93,-315.451182367
94,-444.885037771
95,-398.051067927
96,-461.769676281
97,-67.5139566509
98,-432.652787598
99,-301.617574959
100,-356.646618377
101,-236.569671192
102,-186.873560687
103,-500.652628285
104,-265.373463698
105,-121.914044395
106,-193.958913401
107,-330.301261998
108,-199.331497173
109,-71.2176901847
110,-270.50491897
111,-275.47789358
112,-268.18492328
113,-301.346026893
114,-45.2216730858
115,-311.919702237
116,-368.622083859
117,-277.071687318
118,-224.920835317
119,-224.203097112
120,-104.909320126
121,-137.248538
122,-2.18136688008
123,-196.58534691
124,-148.550747769
125,-362.980396871
126,-110.200517327
127,-402.436453513
128,-107.911185001
129,-72.8705722992
130,-166.657698812
131,-431.020343016
132,-302.675862577
133,-240.302090295
134,-257.439176974
135,-256.946509327
136,-146.406115989
137,-39.447423009
138,-266.225254778
139,-12.1465475055
140,-233.406694607
141,-261.441633248
142,-263.59849331
143,-220.206327057
144,-301.076741323
145,-60.4593114121
146,-196.561451668
147,-469.159772399
148,-64.6218616774
149,-148.430226529
150,-221.280042938
151,-242.261134828
152,-65.8381479973
153,-138.221448875
154,-104.032924882
155,-212.522989081
156,-33.9193868674
157,-71.2788327178
158,-163.3579361
159,-329.842319405
160,-73.9995837291
161,-42.59920346
162,-319.647085301
163,-74.6771531229
164,-223.047073716
165,-79.9414002953
166,-96.8894481024
167,-851.56537462
168,-483.065926469
169,-290.835133281
170,-224.03710156
171,-200.6662011
172,-315.383339202
173,-114.276860889
174,-124.738618997
175,-349.233119239
176,-119.634558838
177,5.49706073657
178,-127.258030132
179,-119.123053376
180,-149.616506658
181,-312.595210553
182,-25.3307077709
183,-82.3969209739
184,26.0415236795
185,-27.640172739
186,-129.929729395
187,-46.8777270377
188,-72.5293098526
189,34.5299400718
190,-81.9552391826
191,-108.874765608
192,-225.273208646
193,-165.831912649
194,-133.326756436
195,-42.5340339219
196,-57.8882356575
197,-95.4908875408
198,-286.291020729
199,-18.7383003709
200,4.7218677428
201,-222.76751308
202,-53.5109939884
203,-33.5599303837
204,-12.5996954844
205,-96.5785611963
206,-220.129264568
207,-164.569303298
208,-355.11784804
209,-229.230439774
210,-62.5934152318
211,-199.71998751
212,-226.510631226
213,-12.0856452232
214,-92.1571223098
215,-201.828366624
216,-213.398725141
217,-175.981621104
218,-236.829461644
219,-205.927842793
220,-136.873423256
221,-219.612772778
222,-86.2924744073
223,-195.734710668
224,-97.2881057116
225,-70.8636229705
226,-4.62716830691
227,-163.554124419
228,-298.613163301
229,-48.5968031501
230,-150.752140096
231,-58.1303785394
232,-80.454591922
233,-213.7254612
234,-127.984510522
235,-69.3789426379
236,-116.821628653
237,-164.333763579
238,-217.228800713
239,-155.355596734
240,-111.211696937
241,-71.610590265
242,-88.7324634951
243,-220.76853885
244,-75.6132057737
245,-272.027255488
246,-239.873790925
247,7.27742991356
248,-125.440315205
249,-364.135817897
250,-87.8943731841
251,-300.39343272
252,-234.850090896
253,-363.196076182
254,-171.160735769
255,-185.824141655
256,-83.6917047424
257,-377.760135876
258,-462.625636166
259,-213.50375964
260,-196.863939693
261,-77.3658032913
262,-76.0492407878
263,-34.8867102061
264,-314.254261059
265,-328.962456533
266,-99.8109757809
267,-161.169740747
268,-93.9155311328
269,-59.253648113
270,-38.1129272432
271,-65.5852028167
272,-92.5298999076
273,-87.8092329132
274,-68.0547449258
275,-277.273701695
276,-345.281537967
277,-265.291130277
278,-89.0140852553
279,-119.854293295
280,-80.4839492959
281,-43.2423259171
282,-81.1047303289
283,-76.8776498833
284,-186.388619415
285,-365.329805363
286,-354.760806406
287,-266.129914708
288,-48.3805247779
289,-19.9299772595
290,-68.797679698
291,-123.131655632
292,-225.907180166
293,-313.26629493
294,-388.419901092
295,-27.8337458639
296,-64.8123262019
297,-130.24486505
298,-354.556900876
299,-151.924172712
300,-112.927758177
301,-164.871504719
302,-92.0181321489
303,-257.223120319
304,-280.286272187
305,-299.701257313
306,-332.51640807
307,-208.870847995
308,-370.117284017
309,-221.299893601
310,-101.997754365
311,-409.987406587
312,-184.481749884
313,-226.329375429
314,-165.434691635
315,-296.328312377
316,-88.9742530693
317,-102.011494597
318,-70.9917782298
319,-225.026088845
320,-81.8083418309
321,-253.196821962
322,-302.528045005
